Date,Actual_Price,Predicted_Price,Lower_Conf,Upper_Conf
2017-06-13,52.0,41.68,26.309171777732708,57.05082822226729
2017-06-14,52.63,41.68,26.262094092542913,57.09790590745709
2017-06-15,52.58,41.68,26.215159719416707,57.144840280583296
2017-06-16,52.58,41.68,26.1683673574732,57.1916326425268
2017-06-19,54.46,41.68,26.121715725393937,57.23828427460606
2017-06-20,53.81,41.68,26.075203561013502,57.2847964389865
2017-06-21,55.09,41.68,26.028829620921087,57.33117037907891
2017-06-22,54.56,41.68,25.982592680072656,57.37740731992734
2017-06-23,54.73,41.68,25.93649153141334,57.42350846858666
2017-06-26,54.31,41.68,25.890524985509767,57.46947501449023
2017-06-27,53.64,41.68,25.84469187019202,57.51530812980798
2017-06-28,54.95,41.68,25.798991030204846,57.561008969795154
2017-06-29,54.3,41.68,25.753421326867922,57.60657867313208
2017-06-30,54.48,41.68,25.70798163774481,57.65201836225519
2017-07-03,54.45,41.68,25.662670856320382,57.69732914367962
2017-07-05,55.62,41.68,25.617487891686437,57.74251210831356
2017-07-06,54.53,41.68,25.572431668235232,57.78756833176477
2017-07-07,54.55,41.68,25.52750112536074,57.832498874639256
2017-07-10,54.8,41.68,25.48269521716733,57.87730478283267
2017-07-11,55.25,41.68,25.43801291218573,57.92198708781427
2017-07-12,56.34,41.68,25.393453193095937,57.96654680690406
2017-07-13,56.46,41.68,25.349015056457,58.010984943543
2017-07-14,57.23,41.68,25.30469751244333,58.05530248755667
2017-07-17,57.51,41.68,25.260499584587503,58.09950041541249
2017-07-18,58.48,41.68,25.2164203095292,58.1435796904708
2017-07-19,58.36,41.68,25.172458736770217,58.18754126322978
2017-07-20,58.45,41.68,25.128613928435318,58.231386071564685
2017-07-21,58.16,41.68,25.084884959038796,58.275115040961204
2017-07-24,58.15,41.68,25.041270915256533,58.31872908474347
2017-07-25,58.07,41.68,24.99777089570343,58.362229104296574
2017-07-26,58.9,41.68,24.954384010716048,58.40561598928395
2017-07-27,58.43,41.68,24.911109382140317,58.44889061785968
2017-07-28,59.2,41.68,24.867946143124158,58.49205385687584
2017-07-31,58.4,41.68,24.824893437914866,58.53510656208513
2017-08-01,58.5,41.68,24.781950421661183,58.57804957833882
2017-08-02,57.66,41.68,24.73911626021983,58.62088373978017
2017-08-03,58.15,41.68,24.696390129966495,58.663609870033504
2017-08-04,58.51,41.68,24.65377121761102,58.706228782388976
